KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K01886,0,0,0,0,0,0
K08497,300,396,375,254,213,297
K08497,220,302,314,246,194,234
K08497,261,361,263,220,198,237
K05758,426,627,542,421,403,411
K01535,256,307,247,164,322,277
K08064,8524,10799,9243,5373,6247,6514
K12124,2744,3466,3105,2426,2757,2861
K14288,1135,1340,1378,984,1276,1188
K01934,990,1285,1339,822,878,909
K03139,204,272,237,307,224,275
K03426,176,217,200,174,178,159
K19828,471,603,533,445,445,446
K10523,3311,4036,3233,1716,1752,1778
K00925,231,330,297,170,254,206
K00925,265,314,305,155,252,223
K06176,37,46,44,27,9,40
K08235,1,2,0,0,0,0
K17807,187,269,224,178,157,208
K11498,401,466,444,522,583,561
K11498,449,533,407,512,560,610
K11498,459,492,401,565,568,637
K11498,414,426,429,533,528,578
K11498,394,431,422,479,575,600
K15202,41,60,62,47,51,65
K15202,45,65,63,45,49,66
K15202,65,69,68,30,60,45
K15202,44,52,59,30,37,52
K15202,50,60,67,60,43,40
K15202,50,60,63,42,42,64
K15202,58,48,55,39,44,59
K15202,32,57,55,37,46,55
K08790,751,918,790,650,577,645
K08790,772,830,778,626,635,629
K20619,378,487,685,55,113,58
K07250,0,0,1,0,0,1
K02990,473,519,510,298,321,319
K02960,5458,6645,6872,6188,6224,6735
K15437,615,778,770,587,582,567
K11866,521,585,613,939,919,982
K22883,462,552,586,584,567,589
K23336,325,423,404,349,420,458
K23336,366,422,406,337,431,439
K23336,356,445,426,382,412,448
K05863,0,0,0,0,0,0
K05863,0,0,0,0,0,0
K00940,2178,2970,3036,3044,2376,2844
K22698,961,1283,1030,1116,1115,1093
K22698,921,1233,1037,1172,1110,1147
K08342,1144,1311,1217,1034,1072,1150
K03627,2631,2773,2828,2201,2147,2311
K12399,359,481,466,317,330,355
K01517,56,96,96,35,37,51
K01517,76,92,107,50,52,50
K01517,39,38,43,16,16,18
K12399,35,49,47,28,33,17
K03934,2970,3683,3057,3308,3330,3646
K24758,189,194,166,107,104,126
K24758,137,124,132,86,87,86
K09828,757,1051,850,607,575,726
K22696,53,63,87,103,68,103
K13800,23,32,39,32,44,44
K13800,1,7,1,4,2,1
K03107,378,416,415,260,321,300
K03107,378,415,427,290,316,297
K02358,1562,1969,1898,1484,1669,1649
K18208,570,646,640,738,674,799
K07195,752,871,738,1308,1307,1541
K07195,607,701,585,1082,1142,1336
K07195,546,663,542,1012,1014,1225
K23490,2431,3021,2682,3587,3545,4178
K23490,136,139,181,133,124,150
K01869,1058,1215,1244,782,902,761
K00703,460,583,520,354,391,428
K00703,403,552,530,382,362,385
K15296,4,5,4,0,6,3
K15296,7,4,2,1,3,4
K00521,484,565,477,243,268,334
K12867,102,120,129,41,36,42
K00430,2,7,4,0,4,3
K21248,1047,1449,1288,1969,1922,2214
K22868,18,30,47,6,21,15
K03564,905,1010,1104,1299,1376,1282
